
A* from 1 to 29
  itera  unvis   open  closed
    00     65     01     00     C.................................................................
    01     64     02     00     CO................................................................
    02     63     02     01     XCO...............................................................
    03     62     02     02     XXCO..............................................................
    04     61     02     03     XXXCO.............................................................
    05     60     02     04     XXXXCO............................................................
    06     59     02     05     XXXXXCO...........................................................
    07     58     02     06     XXXXXXCO..........................................................
    08     56     03     07     XXXXXXXCOO........................................................
    09     56     02     08     XXXXXXXXCO........................................................
    10     55     02     09     XXXXXXXXXCO.......................................................
    11     53     03     10     XXXXXXXXXXCO......................O...............................
    12     51     04     11     XXXXXXXXXXXCO....................OO...............................
    13     48     06     12     XXXXXXXXXXXXCO...............O..OOO...............................
    14     46     07     13     XXXXXXXXXXXXXCO..............O.OOOO...............................
    15     44     08     14     XXXXXXXXXXXXXXCO.............OOOOOO...............................
    16     40     11     15     XXXXXXXXXXXXXXXCO...........OOOOOOO..O.....O......................
    17     40     10     16     XXXXXXXXXXXXXXXXO...........OCOOOOO..O.....O......................
    18     40     09     17     XXXXXXXXXXXXXXXXO...........OXOOOCO..O.....O......................
    19     40     08     18     XXXXXXXXXXXXXXXXO...........OXOOCXO..O.....O......................
    20     40     07     19     XXXXXXXXXXXXXXXXO...........OXOCXXO..O.....O......................
    21     40     06     20     CXXXXXXXXXXXXXXXO...........OXOXXXO..O.....O......................

A* from 1 to 38
  itera  unvis   open  closed
    00     65     01     00     C.................................................................
    01     64     02     00     CO................................................................
    02     63     02     01     XCO...............................................................
    03     62     02     02     XXCO..............................................................
    04     61     02     03     XXXCO.............................................................
    05     60     02     04     XXXXCO............................................................
    06     59     02     05     XXXXXCO...........................................................
    07     58     02     06     XXXXXXCO..........................................................
    08     56     03     07     XXXXXXXCOO........................................................
    09     55     03     08     XXXXXXXXOCO.......................................................
    10     53     04     09     XXXXXXXXOXCO......................O...............................
    11     51     05     10     XXXXXXXXOXXCO....................OO...............................
    12     51     04     11     XXXXXXXXCXXXO....................OO...............................
    13     48     06     12     XXXXXXXXXXXXCO...............O..OOO...............................
    14     46     07     13     XXXXXXXXXXXXXCO..............O.OOOO...............................
    15     46     06     14     XXXXXXXXXXXXXXO..............O.OOCO...............................
    16     46     05     15     XXXXXXXXXXXXXXO..............O.OCXO...............................
    17     44     06     16     XXXXXXXXXXXXXXCO.............OOOXXO...............................
    18     44     05     17     XXXXXXXXXXXXXXXO.............OOCXXO...............................
    19     44     04     18     XXXXXXXXXXXXXXXO.............OCXXXO...............................
    20     41     06     19     XXXXXXXXXXXXXXXO.............OXXXXCOO......................O......
    21     39     07     20     XXXXXXXXXXXXXXXO.............OXXXXXOCOO....................O......
    22     39     06     21     CXXXXXXXXXXXXXXO.............OXXXXXOXOO....................O......

A* from 11 to 1
  itera  unvis   open  closed
    00     65     01     00     C.........O.......................................................
    01     63     03     00     ..........CO......................O...............................
    02     61     04     01     ..........XCO....................OO...............................
    03     58     06     02     ..........XXCO...............O..OOO...............................
    04     56     07     03     ..........XXXCO..............O.OOOO...............................
    05     54     08     04     ..........XXXXCO.............OOOOOO...............................
    06     50     11     05     ..........XXXXXCO...........OOOOOOO..O.....O......................
    07     47     13     06     ..........XXXXXXCO.........OOOOOOOO..O.....OO.....................
    08     47     12     07     ..........XXXXXXXO.........OOCOOOOO..O.....OO.....................
    09     43     15     08     ..........XXXXXXXCO......O.OOXOOOOO..O.....OOO............O.......
    10     43     14     09     ..........XXXXXXXXO......O.OOXOOOCO..O.....OOO............O.......
    11     43     13     10     ..........XXXXXXXXO......O.OOXOOCXO..O.....OOO............O.......
    12     40     15     11     ..........XXXXXXXXCO....OO.OOXOOXXO..O.....OOO............O..O....
    13     40     14     12     ..........XXXXXXXXXO....OO.OOXOCXXO..O.....OOO............O..O....
    14     40     13     13     ..........XXXXXXXXXO....OO.OCXOXXXO..O.....OOO............O..O....
    15     38     14     14     ..........XXXXXXXXXCO..OOO.OXXOXXXO..O.....OOO............O..O....
    16     38     13     15     ..........XXXXXXXXXXO..OOO.CXXOXXXO..O.....OOO............O..O....
    17     38     12     16     ..........XXXXXXXXXXO..OOO.XXXCXXXO..O.....OOO............O..O....
    18     37     12     17     ..........XXXXXXXXXXO..OOCOXXXXXXXO..O.....OOO............O..O....
    19     36     12     18     ..........XXXXXXXXXXCO.OOXOXXXXXXXO..O.....OOO............O..O....
    20     35     12     19     ..........XXXXXXXXXXXO.OOXOXXXXXXXO..O.....COO......O.....O..O....
    21     35     11     20     ..........XXXXXXXXXXXO.OCXOXXXXXXXO..O.....XOO......O.....O..O....
    22     32     13     21     ..........XXXXXXXXXXXO.OXXOXXXXXXXCOOO.....XOO......O.....OO.O....
    23     32     12     22     ..........XXXXXXXXXXXO.CXXOXXXXXXXXOOO.....XOO......O.....OO.O....
    24     31     12     23     ..........XXXXXXXXXXXCOXXXOXXXXXXXXOOO.....XOO......O.....OO.O....
    25     31     11     24     ..........XXXXXXXXXXXXOXXXCXXXXXXXXOOO.....XOO......O.....OO.O....
    26     31     10     25     ..........XXXXXXXXXXXXOXXXXXXXXXXXXOOO.....XOO......O.....CO.O....
    27     30     10     26     ..........XXXXXXXXXXXXOXXXXXXXXXXXXOCOO....XOO......O.....XO.O....
    28     29     10     27     ..........XXXXXXXXXXXXOXXXXXXXXXXXXOXOO....XOCO.....O.....XO.O....
    29     28     10     28     ..........XXXXXXXXXXXXOXXXXXXXXXXXXOXCOO...XOXO.....O.....XO.O....
    30     28     09     29     ..........XXXXXXXXXXXXOXXXXXXXXXXXXOXCOO...XOXO.....O.....XO.O....
    31     27     10     29     .........OXXXXXXXXXXXXOXXXXXXXXXXXXCXXOO...XOXO.....O.....XO.O....
    32     26     10     30     .......O.CXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO.....O.....XO.O....
    33     25     10     31     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO....OC.....XO.O....
    34     23     11     32     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO...OCXO....XO.O....
    35     21     12     33     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO..OCXXOO...XO.O....
    36     19     13     34     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO..OXXXOO...XOOCO...
    37     17     14     35     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XOXO.OCXXXOOO..XOOXO...
    38     17     13     36     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XCXO.OXXXXOOO..XOOXO...
    39     15     14     37     .......O.XXXXXXXXXXXXXOXXXXXXXXXXXXXXXOO...XXXOOCXXXXOOOO.XOOXO...
    40     14     14     38     ..O....O.XXXXXXXXXXXXXCXXXXXXXXXXXXXXXOO...XXXOOXXXXXOOOO.XOOXO...
    41     13     14     39     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXOCXXXXXOOOOOXOOXO...
    42     12     14     40     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXCXXXXXXOOOOOXOOXOO..
    43     12     13     41     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXXXXXXXXOOOOOXCOXOO..
    44     11     13     42     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXXXXXXXXOOOOOXXCXOOO.
    45     11     12     43     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXXXXXXXXOOOOOXXXXCOO.
    46     11     11     44     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXOO...XXXXXXXXXXCOOOOXXXXXOO.
    47     11     10     45     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXCO...XXXXXXXXXXXOOOOXXXXXOO.
    48     11     09     46     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXCOOOXXXXXOO.
    49     10     09     47     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXOOOXXXXXCOO
    50     10     08     48     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXCOOXXXXXXOO
    51     10     07     49     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXXCOXXXXXXOO
    52     10     06     50     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXXXCXXXXXXOO
    53     10     05     51     ..O....O.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXXXXXXXXXXCO
    54     08     06     52     ..O...OCOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO...XXXXXXXXXXXXXXXXXXXXXXO
    55     06     07     53     ..O...OXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXCO.OXXXXXXXXXXXXXXXXXXXXXXO
    56     05     07     54     ..O..OCXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    57     04     07     55     ..O.OCXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    58     02     08     56     .OCOOXXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    59     02     07     57     .OXOCXXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    60     02     06     58     .OXCXXXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    61     02     05     59     .OXCXXXXOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    62     02     05     59     .OXXXXXXCXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
